FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
エルサルバドル (El Salvador),サンサルバドル (San Salvador),,en-US,en-US
赤道ギニア (Equatorial Guinea),マラボ (Malabo),,en-US,en-US
エリトリア (Eritrea),アスマラ (Asmara),,en-US,en-US
エストニア (Estonia),タリン (Tallinn),,en-US,en-US
エスティワニ (Eswatini),ムババーネ (Mbabane),,en-US,en-US
ミクロネシア (Federated States of Micronesia),パリ (Palikir),,en-US,en-US
フィジー (Fiji),スバ (Suva),,en-US,en-US
フィンランド (Finland),ヘルシンキ (Helsinki),,en-US,en-US
ガボン (Gabon),リーブルビル (Libreville),,en-US,en-US
ジョージア (Georgia),トビリシ (Tbilisi),,en-US,en-US
ギリシャ (Greece),アテネ (Athens),,en-US,en-US
グレナダ (Grenada),"セントジョージズ (St. George's, Grenada)",,en-US,en-US
ギニアビサウ (Guinea-Bissau),ビサウ (Bissau),,en-US,en-US
ガイアナ (Guyana),"ジョージタウン (Georgetown, Guyana)",,en-US,en-US
ハイチ (Haiti),ポルトープランス (Port-au-Prince),,en-US,en-US
ホンジュラス (Honduras),テグシガルパ (Tegucigalpa),,en-US,en-US
ハンガリー (Hungary),ブダペスト (Budapest),,en-US,en-US
アイスランド (Iceland),レイキャビク (Reykjavik),,en-US,en-US
イスラエル (Israel),エルサレム (Jerusalem),,en-US,en-US
ジャマイカ (Jamaica),"キングストン (Kingston, Jamaica)",,en-US,en-US
ヨルダン (Jordan),アンマン (Amman),,en-US,en-US
キリバス (Kiribati),タラワ (Tarawa),,en-US,en-US
クウェート (Kuwait),クウェート (Kuwait City),,en-US,en-US
キルギス (Kyrgyzstan),ビシュケク (Bishkek),,en-US,en-US
ラオス (Laos),ビエンチャン (Vientiane),,en-US,en-US
ラトビア (Latvia),リガ (Riga),,en-US,en-US
レバノン (Lebanon),ベイルート (Beirut),,en-US,en-US
レソト (Lesotho),マセル (Maseru),,en-US,en-US
リベリア (Liberia),モンロビア (Monrovia),,en-US,en-US
リビア (Libya),トリポリ (Tripoli),,en-US,en-US
リヒテンシュタイン (Liechtenstein),ファドーツ (Vaduz),,en-US,en-US
リトアニア (Lithuania),ビリニュス (Vilnius),,en-US,en-US
ルクセンブルク (Luxembourg),ルクセンブルク (Luxembourg City),,en-US,en-US
モルディブ (Maldives),マレ (Malé),,en-US,en-US
マルタ (Malta),バレッタ (Valletta),,en-US,en-US
マーシャル諸島 (Marshall Islands),マジュロ (Majuro),,en-US,en-US
モーリタニア (Mauritania),ヌアクショット (Nouakchott),,en-US,en-US
モーリシャス (Mauritius),ポートルイス (Port Louis),,en-US,en-US
モルドバ (Moldova),キシナウ (Kishinev),,en-US,en-US
モナコ (Monaco),モナコ (Monaco City),,en-US,en-US
モンゴル (Mongolia),ウランバートル (Ulaanbaatar),,en-US,en-US
モンテネグロ (Montenegro),ポドゴリツァ (Podgorica),,en-US,en-US
ナミビア (Namibia),ウィントフック (Windhoek),,en-US,en-US
ナウル (Nauru),ヤレン (Yaren District),,en-US,en-US
ニュージーランド (New Zealand),ウェリントン (Wellington),,en-US,en-US
ニカラグア (Nicaragua),マナグア (Managua),,en-US,en-US
北マケドニア (North Macedonia),スコピエ (Skopje),,en-US,en-US
ノルウェー (Norway),オスロ (Oslo),,en-US,en-US
オマーン (Oman),マスカット (Muscat),,en-US,en-US
パラオ (Palau),マルキョク (Melekeok),,en-US,en-US
パナマ (Panama),パナマシティ (Panama City),,en-US,en-US
パプアニューギニア (Papua New Guinea),ポートモレスビー (Port Moresby),,en-US,en-US
パラグアイ (Paraguay),アスンシオン (Asunción),,en-US,en-US
ポルトガル (Portugal),リスボン (Lisbon),,en-US,en-US
カタール (Qatar),ドーハ (Doha),,en-US,en-US
アイルランド (Republic of Ireland),ダブリン (Dublin),,en-US,en-US
コンゴ共和国 (Republic of the Congo),ブラザビル (Brazzaville),,en-US,en-US
セントクリストファー・ネービス (Saint Kitts and Nevis),バセテール (Basseterre),,en-US,en-US
セントルシア (Saint Lucia),カストリーズ (Castries),,en-US,en-US
セントビンセント及びグレナディーン諸島 (Saint Vincent and the Grenadines),キングスタウン (Kingstown),,en-US,en-US
サモア (Samoa),アピア (Apia),,en-US,en-US
サンマリノ (San Marino),サンマリノ (City of San Marino),,en-US,en-US
サントメ・プリンシペ (Sao Tome and Príncipe),サントメ (Sao Tome),,en-US,en-US
セルビア (Serbia),ベオグラード (Belgrade),,en-US,en-US
セーシェル (Seychelles),"ビクトリア (Victoria, Seychelles)",,en-US,en-US
シエラレオネ (Sierra Leone),フリータウン (Freetown),,en-US,en-US
シンガポール (Singapore),シンガポール (Singapore),,en-US,en-US
スロバキア (Slovakia),ブラチスラバ (Bratislava),,en-US,en-US
スロベニア (Slovenia),リュブリャナ (Ljubljana),,en-US,en-US
ソロモン諸島 (Solomon Islands),ホニアラ (Honiara),,en-US,en-US
南スーダン (South Sudan),ジュバ (Juba),,en-US,en-US
スリナム (Suriname),パラマリポ (Paramaribo),,en-US,en-US
スウェーデン (Sweden),ストックホルム (Stockholm),,en-US,en-US
スイス (Switzerland),ベルン (Bern),,en-US,en-US
タジキスタン (Tajikistan),ドゥシャンベ (Dushanbe),,en-US,en-US
バハマ (The Bahamas),"ナッソー (Nassau, Bahamas)",,en-US,en-US
ガンビア (The Gambia),バンジュール (Banjul),,en-US,en-US
トーゴ (Togo),ロメ (Lomé),,en-US,en-US
トンガ (Tonga),ヌクアロファ (Nukualofa),,en-US,en-US
トリニダードトバゴ (Trinidad and Tobago),ポートオブスペイン (Port of Spain),,en-US,en-US
トルクメニスタン (Turkmenistan),アシガバット (Ashgabat),,en-US,en-US
ツバル (Tuvalu),フナフティ (Funafuti),,en-US,en-US
アラブ首長国連邦 (United Arab Emirates),アブダビ (Abu Dhabi),,en-US,en-US
ウルグアイ (Uruguay),モンテビデオ (Montevideo),,en-US,en-US
バヌアツ (Vanuatu),ポートビラ (Port Vila),,en-US,en-US
バチカン市国 (Vatican City),バチカン (Vatican City),,en-US,en-US
